task,category,split,A0_passed,A0_R1_passed,A1_passed,B1_passed,C1_passed,C11_passed,C2_passed,C21_passed,C22_passed,C23_passed,A1_B1_passed,A1_C11_passed,A1_C23_passed,A1_B1_R1_passed,A1_C11_R1_passed,A1_C23_R1_passed,A0_total,A0_R1_total,A1_total,B1_total,C1_total,C11_total,C2_total,C21_total,C22_total,C23_total,A1_B1_total,A1_C11_total,A1_C23_total,A1_B1_R1_total,A1_C11_R1_total,A1_C23_R1_total,A0_rate,A0_R1_rate,A1_rate,B1_rate,C1_rate,C11_rate,C2_rate,C21_rate,C22_rate,C23_rate,A1_B1_rate,A1_C11_rate,A1_C23_rate,A1_B1_R1_rate,A1_C11_R1_rate,A1_C23_R1_rate
amc12_2000_p12,AMC,Test,8,8,3,1,7,4,4,4,2,3,2,0,1,2,5,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.375,0.125,0.875,0.5,0.5,0.5,0.25,0.375,0.25,0.0,0.125,0.25,0.625,0.375
amc12_2000_p20,AMC,Test,7,7,7,2,4,8,5,5,6,3,3,8,7,5,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,0.875,0.875,0.25,0.5,1.0,0.625,0.625,0.75,0.375,0.375,1.0,0.875,0.625,1.0,0.75
amc12_2000_p6,AMC,Test,5,2,2,1,5,3,1,3,5,1,1,2,1,2,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.625,0.25,0.25,0.125,0.625,0.375,0.125,0.375,0.625,0.125,0.125,0.25,0.125,0.25,0.625,0.5
amc12_2001_p21,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12_2001_p5,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2002_p13,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2002_p6,AMC,Test,8,8,7,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
amc12a_2003_p23,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2003_p5,AMC,Test,4,5,6,8,3,8,7,7,5,5,5,5,7,8,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.5,0.625,0.75,1.0,0.375,1.0,0.875,0.875,0.625,0.625,0.625,0.625,0.875,1.0,0.875,0.75
amc12a_2008_p25,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2009_p6,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2009_p7,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2013_p4,AMC,Test,4,6,4,7,7,7,5,7,8,6,4,4,5,5,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.5,0.75,0.5,0.875,0.875,0.875,0.625,0.875,1.0,0.75,0.5,0.5,0.625,0.625,0.375,0.25
amc12a_2019_p12,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2020_p10,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2020_p15,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2020_p25,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2020_p4,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2020_p7,AMC,Test,8,7,5,1,6,0,4,0,0,0,3,0,0,4,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,0.875,0.625,0.125,0.75,0.0,0.5,0.0,0.0,0.0,0.375,0.0,0.0,0.5,0.25,0.125
amc12a_2020_p9,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2021_p12,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2021_p14,AMC,Test,0,1,1,1,0,4,4,6,0,1,1,0,2,1,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.125,0.125,0.125,0.0,0.5,0.5,0.75,0.0,0.125,0.125,0.0,0.25,0.125,0.0,0.125
amc12a_2021_p18,AMC,Test,5,6,5,4,2,6,2,4,2,2,1,3,3,4,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.625,0.75,0.625,0.5,0.25,0.75,0.25,0.5,0.25,0.25,0.125,0.375,0.375,0.5,0.25,0.375
amc12a_2021_p19,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2021_p22,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2021_p25,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2021_p3,AMC,Test,2,3,3,1,1,5,3,7,5,2,4,0,3,8,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.25,0.375,0.375,0.125,0.125,0.625,0.375,0.875,0.625,0.25,0.5,0.0,0.375,1.0,0.25,0.25
amc12a_2021_p8,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12a_2021_p9,AMC,Test,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
amc12b_2002_p19,AMC,Test,2,5,6,7,6,8,7,7,7,8,7,1,5,6,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.25,0.625,0.75,0.875,0.75,1.0,0.875,0.875,0.875,1.0,0.875,0.125,0.625,0.75,0.5,0.625
amc12b_2002_p2,AMC,Test,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875
amc12b_2002_p4,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12b_2002_p7,AMC,Test,1,2,2,2,1,1,1,2,0,1,1,2,0,2,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.125,0.25,0.25,0.25,0.125,0.125,0.125,0.25,0.0,0.125,0.125,0.25,0.0,0.25,0.0,0.0
amc12b_2020_p13,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12b_2020_p2,AMC,Test,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
amc12b_2020_p21,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12b_2020_p22,AMC,Test,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
amc12b_2020_p6,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12b_2021_p1,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12b_2021_p13,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12b_2021_p18,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12b_2021_p3,AMC,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amc12b_2021_p4,AMC,Test,7,8,4,2,4,1,3,6,3,3,6,2,0,3,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,1.0,0.5,0.25,0.5,0.125,0.375,0.75,0.375,0.375,0.75,0.25,0.0,0.375,0.25,0.5
amc12b_2021_p9,AMC,Test,0,2,1,0,1,1,1,0,3,7,2,2,5,0,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.25,0.125,0.0,0.125,0.125,0.125,0.0,0.375,0.875,0.25,0.25,0.625,0.0,0.125,0.5
imo_1959_p1,IMO,Test,8,7,7,7,5,7,8,7,8,4,6,7,6,7,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,0.875,0.875,0.875,0.625,0.875,1.0,0.875,1.0,0.5,0.75,0.875,0.75,0.875,0.875,0.75
imo_1960_p2,IMO,Test,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1962_p2,IMO,Test,0,0,2,0,1,0,0,0,1,0,1,0,1,0,4,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.5,0.125
imo_1963_p5,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1964_p2,IMO,Test,8,8,7,5,7,8,3,8,6,4,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,0.875,0.625,0.875,1.0,0.375,1.0,0.75,0.5,0.75,0.75,0.75,0.875,1.0,1.0
imo_1965_p2,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1968_p5_1,IMO,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imo_1969_p2,IMO,Test,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
